N,P,K,temperature,humidity,ph,rainfall,label,zone
75,50,18,24.6,67.1,6.12,95.5,maize,hill
83,43,19,25.9,67.1,6.47,107.6,maize,terai
66,51,35,14.5,54.4,6.99,32.8,wheat,terai
62,44,35,12.6,52.7,6.46,37.8,wheat,hill
45,41,24,13.9,50.5,6.58,25.4,mustard,terai
44,39,25,11.4,49.7,6.03,25,mustard,hill
79,69,82,12.3,60.6,5.53,57.7,potato,hill
77,72,86,16,63,6.05,48.2,potato,terai
62,53,82,8.7,53.8,5.52,34.1,potato,mountain
31,28,25,6.2,40.4,5.66,18.1,barley,mountain
28,24,18,7.4,46.1,5.53,27.2,buckwheat,mountain
25,63,33,16.7,54.3,6.9,37.6,lentil,terai
23,65,27,16.8,50.2,6.83,35.1,chickpea,terai
74,43,52,22.9,78.7,5.86,173.2,ginger,hill
55,44,61,17.2,81.5,5.38,206.7,cardamom,hill
91,77,79,20.9,63.1,6.32,71.1,tomato,hill
88,68,74,16.5,66.3,6.38,38.1,cauliflower,hill
